feature,beta
home_season,-1.7863115616130217e-05
home_is_home,-8.820423502144033e-13
home_starter_goalie_id,9.141562976223486e-05
home_rest_days_x,-1.1128385229191778e-05
home_b2b_x,3.630084309618621e-07
home_games_played_prior,0.0001994114804499566
home_ewm_goals_for,2.44893348702522e-05
home_r5_goals_for,3.18014720934189e-05
home_r14_goals_for,2.4314725969442657e-05
home_ewm_goals_against,-1.3152046849996568e-05
home_r5_goals_against,-2.346086740557332e-05
home_r14_goals_against,-1.588214311578334e-05
home_ewm_goal_diff,3.767375395493697e-05
home_r5_goal_diff,5.526233959529147e-05
home_r14_goal_diff,4.034902889301425e-05
home_ewm_shots_for,-1.4816820523891778e-05
home_r5_shots_for,6.176926643968226e-06
home_r14_shots_for,-2.5322579289056452e-06
home_ewm_shots_against,-0.00014667852353316592
home_r5_shots_against,-0.00020106197529263145
home_r14_shots_against,-0.00014938533005592582
home_ewm_team_save_pct_proxy,4.849288642182032e-08
home_r5_team_save_pct_proxy,2.167563122190258e-07
home_r14_team_save_pct_proxy,1.5203780783271255e-07
home_win_rate_ewm,7.0743462327669275e-06
home_xg_available,0.0
home_xg_for_ewm,-1.4816820522604864e-06
home_xg_against_ewm,-1.4667852346738085e-05
home_xg_share_ewm,9.773424368256927e-07
home_pp_eff,9.235753466488658e-06
home_penalty_diff,1.4318973220940729e-05
home_pp_eff_ewm,9.899043777572942e-07
home_penalty_diff_ewm,-9.828098082080977e-07
home_starter_known,6.4839043368248495e-06
home_starter_unknown,-6.483905208880452e-06
home_goalie_quality_ewm,1.3969778808761998e-07
home_goalie_starts_last7,2.3305842435575273e-05
home_goalie_starts_last14,6.205746680121371e-05
home_goalie_b2b_starter,5.45776353433483e-06
home_goalie_uncertainty_feature,-8.443159071725227e-06
home_days_into_season,0.0003526711786829002
home_days_into_season_spline,1.9370927991615053e-05
home_season_phase_early,4.572189780623386e-06
home_season_phase_mid,-7.168348668910489e-06
home_season_phase_late,2.5961580154632267e-06
home_post_trade_deadline,-4.976745411456725e-06
home_coaching_change_indicator,0.0
home_roster_strength_index,1.1686426790703904e-05
home_man_games_lost_proxy,0.0
home_lineup_uncertainty,-7.516867179117669e-07
away_season,-1.7863115616130217e-05
away_is_home,0.0
away_starter_goalie_id,-6.157135054060408e-06
away_rest_days_x,-6.116519031447594e-05
away_b2b_x,2.0173667855461107e-05
away_games_played_prior,0.00021611241576481642
away_ewm_goals_for,-8.92971087651803e-06
away_r5_goals_for,-5.834257621329768e-07
away_r14_goals_for,-1.179309197741071e-05
away_ewm_goals_against,1.8000492018752086e-05
away_r5_goals_against,2.551116993339792e-05
away_r14_goals_against,1.280901814934032e-05
away_ewm_goal_diff,-2.6847040280363154e-05
away_r5_goal_diff,-2.6094595687517276e-05
away_r14_goal_diff,-2.4453514446513788e-05
away_ewm_shots_for,-0.00013209331631862796
away_r5_shots_for,-0.00010251023356012635
away_r14_shots_for,-0.00016158409387829947
away_ewm_shots_against,4.059096324880719e-05
away_r5_shots_against,7.295931726439995e-05
away_r14_shots_against,-1.5007301633155453e-05
away_ewm_team_save_pct_proxy,-5.438859882804641e-07
away_r5_team_save_pct_proxy,-7.485349263296269e-07
away_r14_team_save_pct_proxy,-4.72693339796694e-07
away_win_rate_ewm,-4.817132610069383e-06
away_xg_available,0.0
away_xg_for_ewm,-1.3209331630597009e-05
away_xg_against_ewm,4.059096303265535e-06
away_xg_share_ewm,-1.341258850105938e-06
away_pp_eff,-5.444962806552737e-06
away_penalty_diff,-1.4318973220940729e-05
away_pp_eff_ewm,4.028681390981295e-07
away_penalty_diff_ewm,-6.776433846159087e-07
away_starter_known,6.4839043368248495e-06
away_starter_unknown,-6.483905208880452e-06
away_goalie_quality_ewm,-4.2798712664845837e-07
away_goalie_starts_last7,2.970804295862745e-05
away_goalie_starts_last14,7.103326179197266e-05
away_goalie_b2b_starter,7.3734047326675604e-06
away_goalie_uncertainty_feature,-8.879572933924593e-06
away_days_into_season,0.0003526711786829002
away_days_into_season_spline,1.9370927991615053e-05
away_season_phase_early,4.572189780623386e-06
away_season_phase_mid,-7.168348668910489e-06
away_season_phase_late,2.5961580154632267e-06
away_post_trade_deadline,-4.976745411456725e-06
away_coaching_change_indicator,0.0
away_roster_strength_index,-6.8943997865891236e-06
away_man_games_lost_proxy,0.0
away_lineup_uncertainty,-7.516867179117669e-07
diff_form_goal_diff,6.772423803516949e-05
diff_form_win_rate,1.2448941136118048e-05
diff_xg_share,2.3186012979732384e-06
diff_penalty_diff,-3.051664225520691e-07
diff_roster_strength,1.858082655789104e-05
diff_lineup_uncertainty,0.0
special_pp_diff,5.870362407043707e-07
special_penalty_diff,-3.051664225520691e-07
special_pk_pressure_diff,1.5937702903956784e-06
goalie_quality_diff,5.676849149009149e-07
goalie_workload_diff_7,-6.402200731962498e-06
goalie_workload_diff_14,-8.975794836830334e-06
goalie_uncertainty_diff,4.36413888559543e-07
home_rest_days_y,-1.4919580785768278e-05
home_b2b_y,-3.431157196448723e-06
home_3in4,0.0
home_4in6,0.0
home_travel_miles,0.0
home_tz_change,0.0
home_local_start_mismatch,-1.2351652873396347e-05
away_rest_days_y,-5.793103315501521e-05
away_b2b_y,9.77513532672546e-06
away_3in4,-1.8269393639521855e-06
away_4in6,3.9415109114456614e-07
away_travel_miles,0.0
away_tz_change,0.0
away_local_start_mismatch,-1.4216265314640951e-05
travel_diff,0.0
rest_diff,4.3011452301670196e-05
rink_goal_effect,3.9783295627723705e-05
rink_shot_effect,0.0001837591998962772
fallback_xg_proxy_used,-8.820423502144033e-13
fallback_goalie_unknown,-9.422135509779708e-06
fallback_lineup_proxy_used,-8.820423502144033e-13
elo_home_pre,0.002728936996517531
elo_away_pre,-0.0022706066705496042
elo_home_prob,3.056775059986186e-06
dyn_home_mean,2.6678028279168108e-05
dyn_away_mean,-1.3631310808609625e-05
dyn_home_prob,8.18542572180189e-06
dyn_var_diff,-1.8670404426231124e-06
